subject,model,corr_type,r
sub-22,Gist,full,0.11818741363517123
sub-22,Gist,semipartial,0.02709055229020357
sub-23,Animacy,full,0.219854110637576
sub-23,Animacy,semipartial,-0.017682736293648093
sub-23,Category,full,0.6935431688771216
sub-23,Category,semipartial,0.6513689563887937
sub-23,Gist,full,0.10029303747868112
sub-23,Gist,semipartial,-0.00442590886134917
sub-24,Animacy,full,0.3957188539290256
sub-24,Animacy,semipartial,0.18722498164408016
sub-24,Category,full,0.641037643204867
sub-24,Category,semipartial,0.5412439525212867
sub-24,Gist,full,0.03382249444813071
sub-24,Gist,semipartial,-0.05937088432098609
sub-25,Animacy,full,0.39720040567805026
sub-25,Animacy,semipartial,0.1960931489032603
sub-25,Category,full,0.6340003894958659
sub-25,Category,semipartial,0.4996739250306151
sub-25,Gist,full,0.25653594821560316
sub-25,Gist,semipartial,0.1671113397289143
sub-26,Animacy,full,0.4353499675766311
sub-26,Animacy,semipartial,0.21965397148697813
sub-26,Category,full,0.6731783087732165
sub-26,Category,semipartial,0.5471301185839292
sub-26,Gist,full,0.1292895023182209
sub-26,Gist,semipartial,0.03296395334583666
sub-27,Animacy,full,0.4603358521923632
sub-27,Animacy,semipartial,0.30678868725368813
sub-27,Category,full,0.5102675676343092
sub-27,Category,semipartial,0.356087751910587
sub-27,Gist,full,0.17434733934119992
sub-27,Gist,semipartial,0.10513138679864899
sub-28,Animacy,full,0.009044190177152123
sub-28,Animacy,semipartial,-0.16272937138217172
sub-28,Category,full,0.4766003833339979
sub-28,Category,semipartial,0.4951741257798325
sub-28,Gist,full,0.0944827242572957
sub-28,Gist,semipartial,0.019656092796667447
sub-29,Animacy,full,0.07345696091163438
sub-29,Animacy,semipartial,-0.14050853920985865
sub-29,Category,full,0.5950612477705036
sub-29,Category,semipartial,0.6203806491904928
sub-29,Gist,full,-0.0459069881559484
sub-29,Gist,semipartial,-0.13986897322997674
sub-30,Animacy,full,0.2905189204268469
sub-30,Animacy,semipartial,0.06927170375933671
sub-30,Category,full,0.6679751965835437
sub-30,Category,semipartial,0.5811406539346655
sub-30,Gist,full,0.21447503843514995
sub-30,Gist,semipartial,0.11675349348231534
sub-31,Animacy,full,0.048749573784218604
sub-31,Animacy,semipartial,-0.14472167601724206
sub-31,Category,full,0.5492634742692456
sub-31,Category,semipartial,0.5423229554731945
sub-31,Gist,full,0.20523954784450754
sub-31,Gist,semipartial,0.12098831088147523
sub-32,Animacy,full,0.13339125854890885
sub-32,Animacy,semipartial,-0.06903973395393997
sub-32,Category,full,0.58263426588522
sub-32,Category,semipartial,0.5629333631403018
sub-32,Gist,full,0.10312567877729356
sub-32,Gist,semipartial,0.014231492095405108
sub-33,Animacy,full,0.06624250828179273
sub-33,Animacy,semipartial,-0.18000988536921758
sub-33,Category,full,0.6901724189872078
sub-33,Category,semipartial,0.7042373830709419
sub-33,Gist,full,0.0942373664634589
sub-33,Gist,semipartial,-0.013435789577924222
sub-34,Animacy,full,0.5150375514227233
sub-34,Animacy,semipartial,0.3401843829315254
sub-34,Category,full,0.5776951443296555
sub-34,Category,semipartial,0.4097875871515319
sub-34,Gist,full,0.16791335367848714
sub-34,Gist,semipartial,0.08906899730278311
sub-35,Animacy,full,0.3999588780831742
sub-35,Animacy,semipartial,0.22239940772146147
sub-35,Category,full,0.5519101389849538
sub-35,Category,semipartial,0.4576169541442714
sub-35,Gist,full,-0.05785360849111154
sub-35,Gist,semipartial,-0.13778960257738798
sub-36,Animacy,full,0.11749347326784022
sub-36,Animacy,semipartial,-0.0686312837966509
sub-36,Category,full,0.5431278731412548
sub-36,Category,semipartial,0.5058322636637468
sub-36,Gist,full,0.2386233467095546
sub-36,Gist,semipartial,0.15727498325411274
sub-37,Animacy,full,0.5959591051330891
sub-37,Animacy,semipartial,0.4473318909031557
sub-37,Category,full,0.5129299466733227
sub-37,Category,semipartial,0.3295718477707756
sub-37,Gist,full,0.043269546283756045
sub-37,Gist,semipartial,-0.02488777637413473
sub-38,Animacy,full,0.0647777009277925
sub-38,Animacy,semipartial,-0.12124238505274279
sub-38,Category,full,0.5205756389998419
sub-38,Category,semipartial,0.5345250730213269
sub-38,Gist,full,0.013174944949751818
sub-38,Gist,semipartial,-0.06838862747091792
sub-39,Animacy,full,0.13638514499169402
sub-39,Animacy,semipartial,-0.002370607076385002
sub-39,Category,full,0.41172222164728256
sub-39,Category,semipartial,0.37120499919882965
sub-39,Gist,full,0.1484322221428339
sub-39,Gist,semipartial,0.08743887355731593
sub-40,Animacy,full,0.16632127673072147
sub-40,Animacy,semipartial,-0.02327095602666419
sub-40,Category,full,0.5574774617565044
sub-40,Category,semipartial,0.5131013252759763
sub-40,Gist,full,0.17538171800998503
sub-40,Gist,semipartial,0.09208708178996552
sub-41,Animacy,full,0.11991206485540643
sub-41,Animacy,semipartial,-0.09668460966889757
sub-41,Category,full,0.6209101020232484
sub-41,Category,semipartial,0.6040272976251227
sub-41,Gist,full,0.13609538642414604
sub-41,Gist,semipartial,0.04117306970904887
sub-42,Animacy,full,0.4744584025750135
sub-42,Animacy,semipartial,0.2937309564759835
sub-42,Category,full,0.5865636114115607
sub-42,Category,semipartial,0.4342637324343173
sub-42,Gist,full,0.16622640064100577
sub-42,Gist,semipartial,0.0850416486443066
sub-43,Animacy,full,0.13059586380832988
sub-43,Animacy,semipartial,-0.04496594579478977
sub-43,Category,full,0.5090059578886036
sub-43,Category,semipartial,0.4839489090217147
sub-43,Gist,full,0.10844636954484868
sub-43,Gist,semipartial,0.031314290656023626
sub-44,Animacy,full,0.5695084428319079
sub-44,Animacy,semipartial,0.3877760761536104
sub-44,Category,full,0.6052830353588782
sub-44,Category,semipartial,0.4216607851459808
sub-44,Gist,full,0.1552073006943859
sub-44,Gist,semipartial,0.07302016641314646
