roi,subject,model,corr_type,r
Early_Visual,sub-05,Category,full,0.008665993170549353
Early_Visual,sub-06,Category,full,0.09715351981983911
Early_Visual,sub-07,Category,full,0.013632207789562228
Early_Visual,sub-08,Category,full,0.07868395772207401
Early_Visual,sub-09,Category,full,0.09192166866072597
Early_Visual,sub-10,Category,full,0.14011549546790822
Early_Visual,sub-11,Category,full,-0.0019533946448397742
Early_Visual,sub-12,Category,full,0.0899415270639127
Early_Visual,sub-13,Category,full,0.1319334027190959
Early_Visual,sub-14,Category,full,0.10488063149538657
Early_Visual,sub-15,Category,full,0.01584776769870023
Early_Visual,sub-16,Category,full,0.09213040002430478
Early_Visual,sub-17,Category,full,0.05943431503019703
Early_Visual,sub-18,Category,full,0.10450783065553583
Early_Visual,sub-19,Category,full,0.10259909235206721
Early_Visual,sub-20,Category,full,0.0955715410954404
Early_Visual,sub-01,Category,semipartial,0.08328221509321611
Early_Visual,sub-02,Category,semipartial,0.11067535518662712
Early_Visual,sub-03,Category,semipartial,-0.025101791103602923
Early_Visual,sub-04,Category,semipartial,0.07265839743581426
Early_Visual,sub-05,Category,semipartial,-0.02932159978794844
Early_Visual,sub-06,Category,semipartial,0.0885934970949081
Early_Visual,sub-07,Category,semipartial,-0.02284365401601158
Early_Visual,sub-08,Category,semipartial,0.07314939291249345
Early_Visual,sub-09,Category,semipartial,0.09765751584566963
Early_Visual,sub-10,Category,semipartial,0.11607184121115312
Early_Visual,sub-11,Category,semipartial,0.010739820349321314
Early_Visual,sub-12,Category,semipartial,0.1065390743352687
Early_Visual,sub-13,Category,semipartial,0.1425883875297379
Early_Visual,sub-14,Category,semipartial,0.10784031675374312
Early_Visual,sub-15,Category,semipartial,0.015053520013781276
Early_Visual,sub-16,Category,semipartial,0.08362986479979108
Early_Visual,sub-17,Category,semipartial,0.08494960161627597
Early_Visual,sub-18,Category,semipartial,0.08851860677250376
Early_Visual,sub-19,Category,semipartial,0.10045463254089246
Early_Visual,sub-20,Category,semipartial,0.07840132200265187
Early_Visual,sub-01,Gist,full,0.003811327076434653
Early_Visual,sub-02,Gist,full,0.10463264778218498
Early_Visual,sub-03,Gist,full,-0.06733321425416992
Early_Visual,sub-04,Gist,full,0.2484171570715563
Early_Visual,sub-05,Gist,full,0.046853155570589736
Early_Visual,sub-06,Gist,full,0.05152121046680345
Early_Visual,sub-07,Gist,full,0.11582358133827413
