Row	control_person	clutter_person	deletion_person	occlusion_person	scrambling_person	control_cat	clutter_cat	deletion_cat	occlusion_cat	scrambling_cat	control_bird	clutter_bird	deletion_bird	occlusion_bird	scrambling_bird	control_banana	clutter_banana	deletion_banana	occlusion_banana	scrambling_banana	control_firehydrant	clutter_firehydrant	deletion_firehydrant	occlusion_firehydrant	scrambling_firehydrant	control_tree	clutter_tree	deletion_tree	occlusion_tree	scrambling_tree	control_bus	clutter_bus	deletion_bus	occlusion_bus	scrambling_bus	control_building	clutter_building	deletion_building	occlusion_building	scrambling_building
control_bird	0.2054228793816	0.94965139775957	0.221279167134684	0.183852330384888	0.90012162151207	0.193920808436845	0.925978852374345	0.185076109171978	0.176279515331887	0.869278946705873	0.243049717545462	1.01061820410257	0.237346787323064	0.185728132309262	0.917984217210955	0.352498580758637	1.10809394169529	0.301013017331434	0.222138619470101	0.922552066412525	0.186967143311239	0.99930305341759	0.20916128181787	0.176151797233179	0.961419276836067	0.2270460390966	0.838145037959243	0.23956635553027	0.174094469219065	0.941562993690396	0.232815984862311	1.0071375875961	0.218425004266522	0.187050726697689	0.941600400776308	0.236466476737529	0.931814765197019	0.201682054739928	0.200899370506894	0.942254804335093
clutter_bird	1.00229391323947	0.52623571729265	0.994717751432335	0.958178089952005	0.616658533194099	1.00946502834741	0.512364426569732	1.00275011373317	0.973789312461481	0.670932420963956	1.01061820410257	0.5568683536993	0.997591117880655	0.963961118183232	0.757909184366692	0.987170303534857	0.538433678898915	0.977301155250877	0.948868358830355	0.725911811543317	1.00078459187654	0.590056874655831	0.997864747835785	0.957264208899685	0.564149001194674	1.05816818442934	0.556100263955432	1.0445840338998	0.999559953381862	0.860480845726518	0.976052704546829	0.56033565516404	0.976695279198519	0.954649304077182	0.60810732601416	0.9861265376086	0.571536149915274	0.986013188840782	0.964035019617995	0.596928989844249
deletion_bird	0.192961529207036	0.932316802516822	0.20322972014973	0.157335909547242	0.870650483540881	0.184393627874158	0.903839254070431	0.17170744548557	0.15619705663909	0.827516976123109	0.237346787323064	0.997591117880655	0.221311190598588	0.166585154223464	0.893619841532252	0.328844502561719	1.08506562500289	0.277804600068323	0.190732691492583	0.883739622789236	0.171933136147132	0.983279588143937	0.187258233501465	0.152187251047442	0.927396221977551	0.222836516523267	0.826918470144597	0.231063838693774	0.159479068757733	0.917445749292279	0.215294496564889	0.987704296844786	0.19826985279041	0.161782559599889	0.914153599126683	0.237157113697007	0.922443710694909	0.196700950459266	0.192491485518543	0.929446539440528
occlusion_bird	0.132920463619986	0.887812665406259	0.140645667948487	0.0795411159208207	0.808685870823767	0.125581560328708	0.854804977634396	0.110639936931919	0.0848509732661761	0.765027825966571	0.185728132309262	0.963961118183232	0.166585154223464	0.0904706188031621	0.848852745581514	0.278711532073837	1.055232193071	0.218516436004096	0.116291332761904	0.841444492033051	0.115939783418575	0.945139783359224	0.128641984672913	0.0752802238305511	0.891375274914976	0.189869598983297	0.780702113111556	0.192359014936998	0.0988908996391312	0.914469495790908	0.170424298058263	0.962129122575051	0.145570631209191	0.0946585438788546	0.897836513330342	0.182874541408832	0.885168783397659	0.137887561382703	0.123388805819403	0.904129852807137
scrambling_bird	0.909866029334557	0.693575483012182	0.887898762921373	0.838604617956301	0.615147382954055	0.917992069847756	0.677431400314621	0.90221596675872	0.867502363875508	0.586019619207884	0.917984217210955	0.757909184366692	0.893619841532252	0.848852745581514	0.646617886113368	0.902857253960571	0.747692669727669	0.871538086608312	0.834604662681717	0.69797654248547	0.927969730419742	0.741090780974817	0.907007924118249	0.851512006496496	0.640186987488404	1.01372575515718	0.76185151625904	0.981489109478322	0.91862651292778	0.75005009432402	0.923686580583879	0.743118367900251	0.89999358358053	0.863834298082392	0.712290514139596	0.945553051563481	0.720727829178194	0.91829074856056	0.896300348541705	0.778310572470021
control_banana	0.335831893324274	0.94090691795597	0.327049306563511	0.269791189506657	0.907313536988169	0.256195080250339	0.905549803552536	0.258263295488473	0.256349674391895	0.807451127690394	0.352498580758637	0.987170303534857	0.328844502561719	0.278711532073837	0.902857253960571	0.278869980829056	1.04640575095839	0.250558579588516	0.225552961864864	0.833500512694979	0.271258295982812	0.984655404590541	0.298444259761122	0.246210806133376	0.91469999633601	0.366198702060995	0.845821440444641	0.369696298180403	0.276938939696487	0.932831038875342	0.2693037477012	0.956945932831557	0.253582490117966	0.238613869181367	0.903552315247265	0.322770741981943	0.938639536427942	0.295967346973982	0.284842458397218	0.940530856893953
clutter_banana	1.08850508641038	0.480916756908504	1.07450639808478	1.03727805602079	0.570491527535735	1.10946783658728	0.466317602954556	1.09762003636188	1.062067237151	0.632295079660364	1.10809394169529	0.538433678898915	1.08506562500289	1.055232193071	0.747692669727669	1.04640575095839	0.430408330908852	1.05561541241946	1.02203864457137	0.694937817930981	1.09631785858062	0.536663114535546	1.0822612059369	1.04264371167554	0.534252338685541	1.14902168557929	0.522989476445402	1.13248814752894	1.09522245688951	0.868642037520987	1.07642211550167	0.516018162345082	1.0728664340652	1.04495241288043	0.607643421643785	1.09957560814881	0.554709332326474	1.0925539599114	1.07074023073518	0.5373662159977
deletion_banana	0.282419073455311	0.927276316439237	0.270008757212569	0.212845027478492	0.872893109715328	0.206767538233246	0.893584741311458	0.207525709461755	0.200217018385668	0.776638749130865	0.301013017331434	0.977301155250877	0.277804600068323	0.218516436004096	0.871538086608312	0.250558579588516	1.05561541241946	0.199279148755637	0.173860790673173	0.827234586808758	0.220409914075548	0.97502575385902	0.242563514215733	0.189860514683883	0.898308123007049	0.33078494621117	0.82608083102656	0.328247323341716	0.225058414172215	0.916591764855624	0.227013019043529	0.951193652751908	0.206663592236897	0.185202902113437	0.894526190505972	0.266026554522495	0.920665744689292	0.24050739719186	0.224389779569234	0.92309317771329
occlusion_banana	0.175905255262273	0.877268359363263	0.169128769906783	0.0966912124709924	0.802466970912932	0.140566060947997	0.83791982038411	0.128983242328807	0.101232486704927	0.724278266490551	0.222138619470101	0.948868358830355	0.190732691492583	0.116291332761904	0.834604662681717	0.225552961864864	1.02203864457137	0.173860790673173	0.0899098835753787	0.78541904204453	0.130901477671051	0.933175177505192	0.140213639663954	0.0851379011599143	0.855460217619478	0.236457983475006	0.778178870210897	0.231747425264463	0.126586353995354	0.897951032848903	0.161030704497537	0.926121057779589	0.138197680502696	0.0920009320797961	0.86412796889927	0.206808628560064	0.883888229142262	0.167196151344139	0.14567387072571	0.894835115249944
scrambling_banana	0.908912668542556	0.657911025668735	0.883072643274004	0.816615246521199	0.652184447654304	0.903756556003414	0.606631989434328	0.887350698771485	0.846137290411697	0.537300757517346	0.922552066412525	0.725911811543317	0.883739622789236	0.841444492033051	0.69797654248547	0.833500512694979	0.694937817930981	0.827234586808758	0.78541904204453	0.52744824815651	0.903516884865908	0.720506973964534	0.880052930304759	0.824968284337349	0.608655258874656	0.982982636806712	0.715955655873427	0.956403501015086	0.890260142610676	0.82017627034173	0.885467837279828	0.731143894606502	0.869549441410231	0.827482172717046	0.664071534893893	0.953501181394385	0.698864963197324	0.920433632927643	0.89254323381381	0.841912866284534
