Row	control_banana1	control_banana10	control_banana2	control_banana3	control_banana4	control_banana5	control_banana6	control_banana7	control_banana8	control_banana9	control_bird1	control_bird10	control_bird2	control_bird3	control_bird4	control_bird5	control_bird6	control_bird7	control_bird8	control_bird9	control_building1	control_building10	control_building2	control_building3	control_building4	control_building5	control_building6	control_building7	control_building8	control_building9	control_bus1	control_bus10	control_bus2	control_bus3	control_bus4	control_bus5	control_bus6	control_bus7	control_bus8	control_bus9	control_cat1	control_cat10	control_cat2	control_cat3	control_cat4	control_cat5	control_cat6	control_cat7	control_cat8	control_cat9	control_firehydrant1	control_firehydrant10	control_firehydrant2	control_firehydrant3	control_firehydrant4	control_firehydrant5	control_firehydrant6	control_firehydrant7	control_firehydrant8	control_firehydrant9	control_person1	control_person10	control_person2	control_person3	control_person4	control_person5	control_person6	control_person7	control_person8	control_person9	control_tree1	control_tree10	control_tree2	control_tree3	control_tree4	control_tree5	control_tree6	control_tree7	control_tree8	control_tree9
control_bird1	0.404618546433638	0.184316729551661	0.178430148145628	0.261837572588484	0.22903969559942	0.253930007580791	0.308933939722633	0.153742277031415	0.183779310568755	0.380418706481301	0	0.245486858502978	0.290029336676496	0.185794195601418	0.106654585145301	0.338844956016568	0.332684270582696	0.192175264576993	0.191908041229856	0.076947940184027	0.199514114174597	0.112489006512096	0.16325172851927	0.143005391864928	0.148426356849885	0.13142865970998	0.115557782131114	0.108643555651406	0.170810551846372	0.114202081739404	0.14735616722274	0.10859069696532	0.291817404053022	0.105798287383346	0.184759069172808	0.239702558729522	0.193453589265872	0.144181830208102	0.16473529196348	0.13565358274453	0.108224783867789	0.116243204376929	0.178392775475334	0.119896047612606	0.132242271807943	0.153693178361098	0.0861104137179939	0.0735791583290655	0.2719772782492	0.0939153768288001	0.0824657665942969	0.11301404533683	0.0784227435135411	0.096515227943651	0.0685763245083636	0.091620887119873	0.0712833265930614	0.0465464542043011	0.0664528601611643	0.105437569968161	0.109124569445406	0.060723636203081	0.122015963461931	0.216657555431916	0.120835009773157	0.237017349359913	0.142244247500024	0.0883012591620599	0.104468114175254	0.175008339854573	0.259573320226796	0.344971302271216	0.0624854905271214	0.135847531615429	0.109332454156931	0.086445265804126	0.147862790103782	0.160599297264125	0.194825278484983	0.0971393589378884
control_bird10	0.347679348609353	0.588746244257282	0.474630204852599	0.513163997095951	0.343859408048067	0.301980418150428	0.428274448082987	0.4866214571829	0.422181170209745	0.102760545726571	0.245486858502978	0	0.267156577285661	0.38087870858212	0.277470652454912	0.134431443302529	0.475339534836789	0.0549701917915412	0.385555699828026	0.350541022775816	0.133673064788983	0.233878306089439	0.365398638289469	0.229434473410299	0.1277041643126	0.23948574009509	0.209949486561047	0.134253352243367	0.222231943706476	0.204800029568915	0.254125888277506	0.344251549145501	0.428380277570652	0.214795708375544	0.304677140417607	0.224623455058212	0.232113986662029	0.16700040256168	0.32539101326282	0.303722388738059	0.226770000300519	0.281313134733297	0.109835490831881	0.104515572894323	0.146608176864371	0.0859847949466076	0.13017141172117	0.100500639135643	0.167565398755733	0.344023650804019	0.217201738055358	0.167216200836206	0.215698911029153	0.237203629709168	0.25260897062945	0.338979114518818	0.208466133569453	0.26430916245294	0.256116817574731	0.234761631541036	0.160814080335549	0.208783264600428	0.386677919504159	0.173731597131597	0.159390959634277	0.392370203318177	0.230003361656404	0.19273876599321	0.134290695590142	0.243272012240468	0.442201351916612	0.513130500075041	0.236115541231516	0.275407720872398	0.212784330300537	0.301482381700504	0.246404168669189	0.330810764879644	0.23261429334774	0.197709952945004
control_bird2	0.209457207473441	0.502284011632303	0.369108383749691	0.3034322517822	0.440700813899499	0.174340080983224	0.14704083740427	0.433090035715685	0.361665845758069	0.244242567750015	0.290029336676496	0.267156577285661	5.55111512312578e-16	0.251449849215569	0.370610546949743	0.208878564524531	0.246136095628681	0.222516948665676	0.244189583504513	0.270238521419124	0.31123267429684	0.381342641513176	0.33526211415035	0.260962117467998	0.159205713004115	0.112771793740656	0.245221965011785	0.293450250674204	0.262159966947266	0.244269026827601	0.138423814237793	0.177691796234726	0.168541796756513	0.150310845292123	0.0955052351763609	0.0804829368177268	0.088464769715124	0.103961213347258	0.194392468995344	0.217023241212101	0.213896481585913	0.241367785374761	0.141087507189825	0.174044577495037	0.186640536348501	0.115553989614611	0.15474902722142	0.167380787217206	0.0694008884263051	0.22318539444755	0.172950394727637	0.125644520384342	0.183689691986229	0.165272426825484	0.207885950378796	0.274332342747183	0.159964790998763	0.23209296459262	0.219705817971956	0.119607568513453	0.119432227265843	0.247049658030092	0.460089665080663	0.255521324976949	0.221598348027831	0.25364130487939	0.192825125351723	0.171269194805204	0.128562234676246	0.173734296479696	0.288215717519716	0.396100381988384	0.190536218056826	0.285107846184805	0.165032309856852	0.326129843602885	0.147194194434734	0.24149400474116	0.151561929285754	0.110757725096534
control_bird3	0.339298767177695	0.245746410520305	0.230564673117112	0.133593433736804	0.271471605220022	0.256605982791422	0.249989520400723	0.145816079982489	0.199958371722419	0.40805882665989	0.185794195601418	0.38087870858212	0.251449849215569	0	0.384365172764139	0.395216259565685	0.251241780486763	0.353707103096896	0.103930151153152	0.172505813924093	0.369075754539152	0.30068187730172	0.314993363874804	0.276266094002073	0.292236516103669	0.192556451926752	0.180406956775972	0.264333530161427	0.254713926231481	0.240324457458827	0.242154459369122	0.211558135375015	0.234895390794379	0.222470501588875	0.221331609867277	0.261224887313013	0.190543287342781	0.240466297113243	0.220199774287782	0.20969901883217	0.124329825878718	0.130824531243635	0.2970412995062	0.245493789462921	0.220106427931433	0.208466107233021	0.175142671852477	0.174103947559017	0.219990663023219	0.094649110458671	0.147794134346382	0.226406099141405	0.245261755162351	0.17686809266609	0.219446861358868	0.281418250514034	0.181267970063772	0.243056591830796	0.227401108701761	0.189009027229373	0.1901646662159	0.239388949501004	0.389019179051177	0.284740127397712	0.316745020529936	0.17997614199402	0.220522311047642	0.118392538072411	0.175842224924628	0.164667670841378	0.385898803161076	0.534562475415586	0.18575792726617	0.204212332344843	0.199131100235532	0.29627042939471	0.229170937520219	0.302898958639906	0.228168733582891	0.165108432538974
control_bird4	0.598716082526615	0.376147761898479	0.35535363359452	0.470492386091227	0.432245238081308	0.425963982492113	0.416411810019421	0.385386646602699	0.333280676667943	0.48696510452483	0.106654585145301	0.277470652454912	0.370610546949743	0.384365172764139	0	0.422953090722917	0.403997594709404	0.176315334464414	0.335987503965189	0.18455027765608	0.253089454465959	0.222785317262062	0.255965284514533	0.215531132121378	0.190831848690848	0.218114857882286	0.259725782765413	0.197170764500147	0.296396326866766	0.20897981255012	0.22156105125564	0.173417960981293	0.445578609041616	0.208591965852175	0.254476198991032	0.345640890922334	0.32085233712453	0.244648477269291	0.289171057032841	0.27087482346267	0.275880581772585	0.271827361345179	0.288417310141717	0.226140672666373	0.246454553141979	0.257519920228507	0.209324761257512	0.172919242870738	0.406166415944634	0.223835703016588	0.18151020869925	0.169545423722643	0.118631436792815	0.222459656628918	0.128388423914906	0.124055998589856	0.150279449376549	0.0852149987992902	0.0903548833658533	0.201432576318536	0.16196737605633	0.0952609687122544	0.0711713945990192	0.341569171462562	0.104890939289339	0.37071983798207	0.15146201974078	0.195229276223129	0.162624794720995	0.278381752776391	0.259745383110161	0.278738441800941	0.140104946946001	0.263642542186769	0.202541624209299	0.0966665260116325	0.217392407685919	0.171356860150676	0.305544127092088	0.185082086931458
control_bird5	0.287103046418593	0.645189975998964	0.516979327830951	0.523759715728405	0.385576767193489	0.262257621547943	0.388336746742026	0.552075668189889	0.469232067181325	0.0879100166586585	0.338844956016568	0.134431443302529	0.208878564524531	0.395216259565685	0.422953090722917	0	0.467655146657321	0.143110762495375	0.390457930913791	0.359755211591196	0.262102473171681	0.352865745459368	0.347939962926716	0.288156756910099	0.195013374040016	0.287675291302765	0.242217281505155	0.254923283392668	0.237773868630016	0.260417756385088	0.230160120252632	0.354886509120172	0.351470683548516	0.222335586890097	0.293910011283633	0.182824648163558	0.20396828136708	0.172447209786208	0.320307032599178	0.326148252612058	0.284826573464142	0.263352046207583	0.0650899617898242	0.155835591616067	0.126354640759765	0.144501803227228	0.135093682766684	0.176182698263668	0.163264184866671	0.384015208121615	0.290905251611065	0.178253239677069	0.284574648232204	0.240675692933134	0.303385231863689	0.393843602200738	0.246658902639353	0.339722899166465	0.305012570286436	0.247676589072234	0.203577654367376	0.312476900001619	0.570970419682073	0.15442973550208	0.263419377982333	0.412383439805635	0.312103031074285	0.206301642116751	0.184305958051775	0.264134301275157	0.379398346755943	0.479118377891656	0.222791707821298	0.250955311415975	0.175654707804756	0.330249733702938	0.169611426574788	0.318114448027827	0.137908770904364	0.191939023171622
control_bird6	0.567773190660469	0.527040211650662	0.557340380973489	0.353252472944095	0.600852135631324	0.473652025700094	0.357979091480253	0.44052095587902	0.255701652462517	0.445979388781864	0.332684270582696	0.475339534836789	0.246136095628681	0.251241780486763	0.403997594709404	0.467655146657321	7.7715611723761e-16	0.406715197167374	0.121624835181074	0.226069311543775	0.377967747546403	0.369998538131852	0.431035339993571	0.324530058811211	0.404954756192314	0.245035852161298	0.334945173838256	0.345388016973953	0.329436415846734	0.296135638934737	0.326396301063654	0.259409705482696	0.44522637748013	0.342250599045734	0.314304203710748	0.373055012238967	0.245558930147581	0.3055967303708	0.297128130121755	0.384875899115589	0.302839811111569	0.177059263309964	0.397477937843519	0.269385910620156	0.332528225817943	0.351248408746323	0.310281246585968	0.335491234446429	0.267767643850222	0.257763026127673	0.159669425026556	0.281987702300088	0.196265300022131	0.264169584767829	0.205417356304489	0.376349775016722	0.278939513587578	0.283465626887504	0.299739922932264	0.204210718050637	0.230009753651112	0.260147880113875	0.497046556878111	0.264867813226388	0.268348729782481	0.127829391674374	0.181742329438121	0.204985562023066	0.280994504513013	0.146418700511303	0.23869914514996	0.307857628622755	0.291809771131125	0.466348610968246	0.216317003228207	0.351585003935523	0.222067009390347	0.21548478600819	0.184470338114983	0.263111249183569
control_bird7	0.390581544164394	0.542854647951741	0.439409502929487	0.478469914706846	0.369225268548924	0.312809606002455	0.378274587198685	0.486732336042359	0.408058700735639	0.166289329205346	0.192175264576993	0.0549701917915412	0.222516948665676	0.353707103096896	0.176315334464414	0.143110762495375	0.406715197167374	0	0.323267266787743	0.283670262159051	0.186886381274237	0.264878980998953	0.271104094761233	0.225148229323035	0.13060690368846	0.203639939544362	0.207899739735399	0.164668988249611	0.21873619189262	0.184104967557998	0.184765414906374	0.254992872788904	0.38629019929941	0.177528135784689	0.232902314388123	0.199637915829452	0.198936714206219	0.147708559507271	0.273680764428332	0.264596580252843	0.234653672136675	0.25296758121057	0.096556652041849	0.122359183609716	0.12220111310917	0.0982885994793512	0.110763507270128	0.092600334430409	0.192880764956953	0.297458884887491	0.196175536710245	0.125691503778094	0.159698460642498	0.198962554319159	0.192920900073979	0.2740154854583	0.168236979952956	0.196434950693238	0.180644594486166	0.189910436638647	0.106622892498079	0.174608115357964	0.313321206122852	0.205068968584676	0.116326077454723	0.376958406035942	0.169341671202659	0.150211668520184	0.107373185608097	0.210024717089079	0.306096802790737	0.375733166912902	0.15702220395236	0.219362019869635	0.148180349428705	0.208353282100739	0.153065880420297	0.216999860819959	0.182320660744556	0.140803811515733
control_bird8	0.475634572462365	0.385153463752408	0.403085361489921	0.230917597407584	0.44836322848471	0.373492170464343	0.272859725917037	0.282768668841383	0.174585335638195	0.411635570790748	0.191908041229856	0.385555699828026	0.244189583504513	0.103930151153152	0.335987503965189	0.390457930913791	0.121624835181074	0.323267266787743	0	0.144498189119947	0.345177242917811	0.263381921970729	0.291565087998126	0.233859010835443	0.313249374542933	0.175497084748462	0.210466733641371	0.258259723086684	0.214594940326981	0.213598143534658	0.22393790606534	0.178814138110006	0.326828438312759	0.242427489709213	0.221376631914701	0.314479656899228	0.168432251449243	0.227508719992267	0.201245274434958	0.268442213181902	0.215498380190522	0.0943959359223788	0.292006101066663	0.208673281633339	0.223181072430581	0.269875479383274	0.19192022204042	0.206476068632245	0.224985699365346	0.151979304256764	0.117518417638791	0.209700480176393	0.143460125573004	0.173772691886608	0.14271195729897	0.250199622943505	0.177517639629168	0.197668064709056	0.197882651079209	0.154991864284614	0.15299925007104	0.180220784037902	0.359471401948259	0.208464041452798	0.236545246159827	0.10894992896108	0.151313138021939	0.115306486223932	0.165737463766739	0.0602978542031543	0.190048661524895	0.301420356616297	0.161114161671704	0.300833116130748	0.142994483726308	0.212819678152576	0.138579222152406	0.148970478789467	0.129801083514737	0.161459721967912
control_bird9	0.386485755147352	0.211814812959164	0.221984935827524	0.231672415108741	0.302144348362138	0.262505126241747	0.279179673726168	0.174693886326592	0.169239668922092	0.38404082601662	0.076947940184027	0.350541022775816	0.270238521419124	0.172505813924093	0.18455027765608	0.359755211591196	0.226069311543775	0.283670262159051	0.144498189119947	1.11022302462516e-16	0.282395129943769	0.14578996407829	0.211780726752573	0.180297987889818	0.223125137953398	0.133582495867557	0.129168168127774	0.169095453480192	0.159977316549222	0.127395533580991	0.147712657355918	0.09290236145947	0.254811029639646	0.147362059781676	0.169977551569905	0.253939673723669	0.165552833994118	0.160769454477438	0.136320485951383	0.14616685910178	0.129400645323764	0.0782082303910965	0.234082788016607	0.155014237464863	0.166914380740841	0.234070925086302	0.120783080322286	0.147166663114182	0.264454994208621	0.0743939379549503	0.0926574262049485	0.151036157518177	0.0821276338762071	0.114725350531671	0.0808513425498975	0.125401782542332	0.0763192313430296	0.0707575296045584	0.0950241505209656	0.0949276182941612	0.116427597416809	0.0902309390551246	0.206882682427754	0.18985698954844	0.143437166228764	0.137746668604015	0.163388712018375	0.0821206681395419	0.160605073388744	0.141000091446467	0.219934324255992	0.307779033974245	0.0789865631133676	0.177137472377114	0.0952521229459052	0.124009477801488	0.129473779088434	0.146245447074703	0.156202511739871	0.118240773003326
